nome_teste,entidade,resultado
in_set_status,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.VW_AUDIT_SUBSCRIPTIONS_RAW_SUNOCORE::columns::Status>,Sem execução
in_set_status,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.TR_MRR_RECEITALEGADO_FINANCEIRO::columns::Status>,Sem execução
in_set_status,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.DIM_PLANS::columns::STATUS>,Sem execução
in_set_status,<#E::table::Suno SnowFlake.SERVING_LAYER.ASSET.VW_COMPLIANCE_TABTEM_RESULTADOS::columns::STATUS>,Sem execução
in_set_status,<#E::table::Suno SnowFlake.SERVING_LAYER.NEXXUS.NXENQ_RESULTADOENQUADRAMENTOHIST::columns::STATUS>,Sem execução
in_set_status,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.UNIFIED_DIM_PLANS::columns::STATUS>,Sem execução
in_set_status,<#E::table::Suno SnowFlake.SERVING_LAYER.ASSET.VW_COMPLIANCE_RESULTADOS::columns::STATUS>,Sem execução
in_set_status,<#E::table::Suno SnowFlake.SERVING_LAYER.GERAL.VENDAS_MES_ATUAL::columns::status>,Sem execução
in_set_status,<#E::table::Suno SnowFlake.SERVING_LAYER.ASSET.VW_TAXA_CDI_ASSET::columns::STATUS>,Sem execução
in_set_status,<#E::table::Suno SnowFlake.SERVING_LAYER.ASSET.VW_TAXA_INCC_ASSET::columns::STATUS>,Sem execução
in_set_status,<#E::table::Suno SnowFlake.SERVING_LAYER.ASSET.VW_INDEXER_HISTORY_IPCA_IGPM_PROJECTED::columns::STATUS>,Sem execução
in_set_status_detalhado,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.DT_FCT_COHORT_MONTHLY_UN_TRUTH::columns::STATUS_DETALHADO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_RENEWAL_RETRY_OUTCOMES::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_LEGADO_RENEWAL_COMPLETED_TRANSACTIONS::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_ALL_RENEWAL_FAILED_TRANSACTIONS::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_LEGADO_RENEWAL_RETRY_OUTCOMES::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_LEGADO_RENEWAL_FAILED_TRANSACTIONS::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_AKM::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_CORE_RENEWAL_FAILED_TRANSACTIONS::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_RENEWAL_COMPLETED_TRANSACTIONS::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_RENOVACOES_FALHAS::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_MOVIMENTACOES_RENOVACOES::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_RENEWAL_FAILED_TRANSACTIONS::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento,<#E::table::Suno SnowFlake.SERVING_LAYER.SUNO_CORE.VW_CORE_RENEWAL_RETRY_OUTCOMES::columns::STATUS_PAGAMENTO>,Sem execução
in_set_status_pagamento_desc,<#E::table::Suno SnowFlake.SERVING_LAYER.MARKETING.VW_VENDAS_AKM::columns::STATUS_PAGAMENTO_DESC>,Sem execução
in_set_status_raw,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.DT_LIFECYCLE_SUBS_UN_TRUTH_BKP_20260319::columns::STATUS_RAW>,Sem execução
in_set_status_raw,<#E::table::Suno SnowFlake.REFINED_GLOBAL.ASSINATURAS.BKP_DT_LIFECYCLE_SUBS_UN_TRUTH_20260528::columns::STATUS_RAW>,Sem execução
