bu,database,schema,tabela,fqn,om_url,snowflake_url,tem_descricao,tem_owner,testes_total,testes_falha,testes_sucesso,testes_sem_execucao
A REVISAR,RAW_SUNO_LEGADO,ASSET,SALDOS XP,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.SALDOS XP,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.SALDOS%20XP,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/SALDOS XP,Não,Não,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,SNEL_CONSOLIDADO,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.SNEL_CONSOLIDADO,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.SNEL_CONSOLIDADO,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/SNEL_CONSOLIDADO,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,SNEL_CONSOLIDADO_01_25,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.SNEL_CONSOLIDADO_01_25,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.SNEL_CONSOLIDADO_01_25,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/SNEL_CONSOLIDADO_01_25,Não,Sim,0,0,0,0
A REVISAR,DBT,ASSET,STG_ASSET_HISTORY,Suno SnowFlake.DBT.ASSET.STG_ASSET_HISTORY,http://2.24.76.116:8585/table/Suno%20SnowFlake.DBT.ASSET.STG_ASSET_HISTORY,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/DBT/schemas/ASSET/view/STG_ASSET_HISTORY,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,TAXA_CDI_ASSET,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.TAXA_CDI_ASSET,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.TAXA_CDI_ASSET,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/TAXA_CDI_ASSET,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,TAXA_INCC_ASSET,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.TAXA_INCC_ASSET,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.TAXA_INCC_ASSET,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/TAXA_INCC_ASSET,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,TAXA_IPCA_IGPM_ASSET,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.TAXA_IPCA_IGPM_ASSET,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.TAXA_IPCA_IGPM_ASSET,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/TAXA_IPCA_IGPM_ASSET,Não,Sim,0,0,0,0
A REVISAR,RAW_SUNO_LEGADO,ASSET,TITULOS_PUBLICOS_FEDERAIS_ANBIMA,Suno SnowFlake.RAW_SUNO_LEGADO.ASSET.TITULOS_PUBLICOS_FEDERAIS_ANBIMA,http://2.24.76.116:8585/table/Suno%20SnowFlake.RAW_SUNO_LEGADO.ASSET.TITULOS_PUBLICOS_FEDERAIS_ANBIMA,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/RAW_SUNO_LEGADO/schemas/ASSET/table/TITULOS_PUBLICOS_FEDERAIS_ANBIMA,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_ASSET_CATEGORY,Suno SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_CATEGORY,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_CATEGORY,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_ASSET_CATEGORY,Não,Sim,0,0,0,0
A REVISAR,SERVING_LAYER,ASSET,VW_ASSET_FUNDS_CPFS,Suno SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_FUNDS_CPFS,http://2.24.76.116:8585/table/Suno%20SnowFlake.SERVING_LAYER.ASSET.VW_ASSET_FUNDS_CPFS,https://app.snowflake.com/qeylctm/xgb98696/#/data/databases/SERVING_LAYER/schemas/ASSET/view/VW_ASSET_FUNDS_CPFS,Não,Sim,0,0,0,0
